Zodis                     | Kiekis
jacky                     | 2
james                     | 4
janes                     | 2
january                   | 62
japan                     | 16
japanese                  | 5
jazz                      | 7
jenkins                   | 2
jessie                    | 2
jim                       | 5
jimi                      | 4
jimmy                     | 2
job                       | 3
joe                       | 2
joel                      | 2
john                      | 32
johnny                    | 3
johns                     | 2
join                      | 4
joined                    | 10
joins                     | 3
jonathan                  | 3
jones                     | 6
jr                        | 2
jubilee                   | 6
judas                     | 3
july                      | 112
june                      | 108
just                      | 16
karaoke                   | 2
katy                      | 4
keep                      | 5
ken                       | 4
kenny                     | 2
kensington                | 2
kept                      | 4
keyboardist               | 4
keyboards                 | 9
keynes                    | 3
kharkivs                  | 2
kid                       | 2
kill                      | 2
killer                    | 6
killers                   | 4
kind                      | 10
king                      | 4
kings                     | 2
kinks                     | 2
kiss                      | 2
knebworth                 | 4
knew                      | 6
knights                   | 5
know                      | 7
known                     | 5
korea                     | 3
kris                      | 3
la                        | 2
label                     | 6
labels                    | 2
lack                      | 4
lady                      | 2
lake                      | 2
lambert                   | 50
landmark                  | 2
lane                      | 3
lap                       | 2
large                     | 2
largely                   | 2
largest                   | 4
las                       | 3
last                      | 23
late                      | 8
later                     | 28
latter                    | 7
laugh                     | 2
laura                     | 4
layered                   | 2
lea                       | 2
lead                      | 14
leading                   | 4
leaving                   | 2
led                       | 8
left                      | 12
leg                       | 5
legacy                    | 4
legend                    | 2
legends                   | 3
lego                      | 4
lemieux                   | 3
leppard                   | 3
lesleyann                 | 3
less                      | 2
letter                    | 2
life                      | 16
lifetime                  | 4
light                     | 3
like                      | 14
limited                   | 3
line                      | 2
lineup                    | 6
link                      | 6
links                     | 2
lion                      | 2
lions                     | 3
list                      | 18
listed                    | 2
listen                    | 2
listening                 | 2
listing                   | 3
little                    | 7
live                      | 90
liverpool                 | 2
lives                     | 4
living                    | 2
lizzy                     | 2
logo                      | 8
london                    | 59
londons                   | 5
long                      | 5
look                      | 7
los                       | 10
lost                      | 2
louder                    | 5
loudwire                  | 2
love                      | 24
loved                     | 3
ltd                       | 4
lulu                      | 2
lyrics                    | 3
machine                   | 16
mack                      | 2
made                      | 17
madison                   | 4
magazine                  | 14
magazines                 | 2
magic                     | 18
maiden                    | 2
main                      | 7
major                     | 4
make                      | 7
maker                     | 3
makes                     | 2
making                    | 6
malek                     | 3
mallet                    | 2
malmsteen                 | 2
man                       | 3
managed                   | 2
management                | 5
manager                   | 6
mandel                    | 2
mandela                   | 4
mandelas                  | 3
manner                    | 2
manson                    | 2
many                      | 15
march                     | 80
marilyn                   | 2
mark                      | 13
marked                    | 3
market                    | 3
marketing                 | 2
marking                   | 2
marsh                     | 2
martin                    | 3
marx                      | 4
masters                   | 2
material                  | 9
may                       | 188
mays                      | 5
mccarten                  | 2
mcfarland                 | 2
me                        | 13
meant                     | 2
media                     | 8
medieval                  | 2
medium                    | 2
melody                    | 3
melvins                   | 2
member                    | 5
members                   | 23
memories                  | 2
mercury                   | 135
mercurys                  | 27
metal                     | 18
metallica                 | 6
miami                     | 2
michael                   | 9
mick                      | 4
mid                       | 2
midway                    | 2
might                     | 3
mikal                     | 3
mike                      | 12
military                  | 2
million                   | 22
milton                    | 3
mint                      | 2
minute                    | 2
miracle                   | 9
mirror                    | 2
mistake                   | 2
mitchell                  | 4
mix                       | 3
mixed                     | 4
mixes                     | 2
modena                    | 2
modern                    | 2
mojo                      | 4
moment                    | 4
moments                   | 3
money                     | 3
month                     | 4
months                    | 5
montreal                  | 7
